,0
0,0
1,4
2,1
3,2
4,2
5,1
6,1
7,0
8,5
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,4
17,4
18,0
19,1
20,0
21,0
22,0
23,2
24,3
25,5
26,0
27,2
28,0
29,3
30,6
31,1
32,0
33,0
34,2
35,1
36,1
37,2
38,2
39,0
40,0
41,1
42,2
43,0
44,0
45,2
46,1
47,3
48,2
49,0
50,2
51,2
52,2
53,0
54,0
55,1
56,1
57,2
58,0
59,0
60,2
61,1
62,4
63,2
64,0
65,4
66,2
67,1
68,1
69,3
70,3
71,2
72,6
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,2
82,1
83,0
84,3
85,1
86,3
87,2
88,2
89,5
90,1
91,0
92,0
93,2
94,3
95,0
96,2
97,0
98,4
99,0
100,2
101,1
102,1
103,1
104,0
105,0
106,1
107,2
108,0
109,1
110,1
111,4
112,1
113,0
114,2
115,2
116,2
117,3
118,3
119,3
120,1
121,3
122,3
123,1
124,0
125,0
126,0
127,0
128,2
129,2
130,6
131,2
132,1
133,1
134,0
135,1
136,2
137,0
138,0
139,1
140,0
141,2
142,0
143,2
144,0
145,2
146,1
147,2
148,2
149,3
150,2
151,2
152,1
153,2
154,1
155,2
156,1
157,1
158,2
159,0
160,1
161,1
162,1
163,0
164,1
165,2
166,0
167,1
168,0
169,1
170,1
171,0
172,2
173,1
174,1
175,0
176,1
177,2
178,0
179,2
180,0
181,3
182,1
183,0
184,0
185,1
186,0
187,2
188,0
189,2
190,0
191,0
192,1
193,1
194,2
195,2
196,0
197,0
198,0
199,2
200,1
201,1
202,2
203,1
204,0
205,1
206,0
207,1
208,1
209,2
210,2
211,1
212,0
213,1
214,1
215,2
216,1
217,1
218,0
219,0
220,2
221,1
222,0
223,4
224,1
225,1
226,2
227,0
228,1
229,1
230,1
231,3
232,1
233,0
234,1
235,0
236,1
237,2
238,0
239,1
240,0
241,0
242,1
243,0
244,2
245,4
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,2
255,1
256,0
257,2
258,0
259,1
260,1
261,0
262,3
263,0
264,2
265,0
266,1
267,0
268,1
269,0
270,0
271,2
272,5
273,1
274,0
275,2
276,0
277,1
278,0
279,1
280,0
281,1
282,2
283,0
284,1
285,1
286,0
287,2
288,2
289,1
290,1
291,3
292,4
293,0
294,2
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,4
303,0
304,2
305,1
306,0
307,0
308,1
309,2
310,1
311,1
312,3
313,2
314,1
315,3
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,2
324,2
325,4
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,0
334,1
335,3
336,0
337,3
338,0
339,0
340,1
341,0
342,2
343,1
344,0
345,1
346,1
347,2
348,3
349,0
350,1
351,1
352,2
353,4
354,2
355,2
356,0
357,1
358,0
359,1
360,1
361,2
362,1
363,2
364,0
365,3
366,0
367,4
368,2
369,0
370,2
371,0
372,2
373,1
374,0
375,1
376,1
377,3
378,2
379,0
380,0
381,3
382,2
383,1
384,4
385,1
386,1
387,1
388,2
389,7
390,2
391,1
392,1
393,0
394,0
395,2
396,1
397,2
398,3
399,1
400,1
401,1
402,0
403,1
404,2
405,0
406,1
407,1
408,2
409,0
410,1
411,2
412,0
413,2
414,0
415,1
416,1
417,4
418,0
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,4
427,0
428,1
429,0
430,0
431,1
432,0
433,1
434,4
435,0
436,1
437,1
438,2
439,1
440,1
441,2
442,0
443,1
444,1
445,1
446,0
447,0
448,1
449,0
450,1
451,1
452,0
453,4
454,2
455,0
456,0
457,1
458,2
459,0
460,0
461,1
462,1
463,1
464,3
465,2
466,1
467,1
468,0
469,3
470,1
471,3
472,2
473,0
474,2
475,0
476,0
477,1
478,1
479,2
480,2
481,0
482,0
483,0
484,3
485,1
486,0
487,3
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,2
496,0
497,1
498,1
499,1
500,2
501,2
502,1
503,0
504,0
505,1
506,2
507,1
508,2
509,0
510,1
511,1
512,3
513,1
514,0
515,2
516,1
517,1
518,3
519,1
520,2
521,2
522,1
523,3
524,0
525,2
526,0
527,2
528,3
529,1
530,1
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,0
539,2
540,3
541,1
542,4
543,1
544,1
545,2
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,2
554,2
555,0
556,0
557,0
558,1
559,0
560,1
561,1
562,0
563,0
564,0
565,0
566,1
567,3
568,0
569,2
570,0
571,1
572,1
573,1
574,0
575,1
576,1
577,0
578,2
579,0
580,0
581,0
582,1
583,1
584,1
585,1
586,3
587,4
588,0
589,0
590,2
591,1
592,2
593,1
594,0
595,0
596,0
597,3
598,2
599,2
600,5
601,1
602,0
603,0
604,3
605,0
606,0
